,company,title,url,city,district,remain_address,career,education_date,stack,main_task,qualification,more,duetime,years_of_experience,established_date,total_employees,company_type,view
0,워트인텔리전스,[워트 개발팀] 데이터 엔지니어 모집 (국내 최대 데이터),https://www.jumpit.co.kr/position/7326,서울시,서초구,"강남대로 507, 6층",경력 2~10년,대학교졸업(4년) 이상,"MongoDB, BigData, REST API, Hadoop, Java, Lucene, AWS, Spring, Python, SQL","다양한 서비스를 제공하기 위해 Airflow를 활용한 데이터 파이프라인 구축, 데이터 누락 방지를 위한 감지 서비스 구축 등의 노력을 이어가고 있습니다. 대규모 데이터와 다양한 데이터관련 업무를 경험해 보고 싶으신 데이터 개발자 적극 환영합니다.

• Data Modeling, Data-ETL Task
• 데이터 파이프라인 시스템 설계, 개발 및 운영
• 성능 최적화 및 지속적인 자동화를 통한 운영 개선","• Java, Python, SQL 을 다루는데 어려움이 없으신 분
• Linux 환경 하에 개발 및 시스템 운영 
• 데이터 엔지니어 경력 2년 이상","• 검색서비스 개발과 자연어 처리 경험 보유자 우대
• 머신러닝, 딥러닝 기반 업무 경험 또는 플랫폼 개발 경험 보유자 우대",상시,10,2015-5-27,40,"중소기업, 주식회사, 사단법인",370
1,핀다,오픈업 데이터 엔지니어 (Python),https://www.jumpit.co.kr/position/22641,서울,강남구,"테헤란로 518, 4층 (대치동,한국섬유산업연합회)",경력 3~10년,대학교졸업(4년) 이상,"Git, MongoDB, Amazon DynamoDB, FastAPI, Airflow, Python, AWS Lambda, SQL, Go, Pandas","[오픈업을 소개합니다.]
핀다의 오픈업은 소상공인과 자영업자들의 금융 고민을 해결하기 위해 일하고 있어요!
• 오픈업은 2018년부터 달려온 빅데이터 기반 상권분석 스타트업으로 2022년부터 핀다와 함께하게 되었어요.
• 약 9,000개의 지역 기반 자영업 매출 데이터와 매월 새롭게 생성되는 70여 만 개의 데이터를 기반으로 소상공인·자영업자를 위한 상권 분석 서비스를 제공합니다.
• 이 밖에도 창업을 하기 위해 필요한 비용을 간편하게 측정해 볼 수 있는 ‘외식업 창업 계산기’를 출시하는 등 사장님들의 더 나은 금융 생활을 돕기 위해 노력하고 있어요!

[주요업무]
• 오픈업 서비스의 퀄리티를 높이기 위하여 서비스 전반에 사용되는 다양한 데이터를 관리합니다.
• 정제되지 않은 상권 및 매출 데이터를 효율적으로 활용할 수 있도록 파이프라인을 관리하고 데이터를 가공하는 과정을 담당합니다.
• 데이터 사용성을 극대화하기 위해 관련 시스템을 운영하고 개선합니다.","• Python을 활용한 데이터 처리 경험이 있는 분
• 데이터 프로세싱을 위한 백엔드 시스템을 개발하고 운영한 경험이 있는 분

[핀다 오픈업 데이터 엔지니어가 사용하고 있는 기술]
• Python, Pandas, Streamlit
• MongoDB, SQL, AWS DynamoDB, S3
• JS, GO, AWS Lambda, SQS, FastAPI
• Git, GitLab CI, Airflow, Grafana","• GIS를 활용한 데이터 구조화가 가능한 분
• 지역 기반의 상권 및 매출 관련 데이터 분석에 관심이 있거나 관련 경험이 있는 분
• 데이터 전처리 및 시각화 경험이 있는 분
• 시스템 최적화와 성능 개선에 관심이 많은 분
• Pandas 등 데이터 라이브러리 사용 경험이 있는 분
• Apache Spark를 활용한 데이터 처리 경험이 있는 분",상시,10,2015-9-25,127,"스타트업, 중소기업, 병역특례 인증업체",544
2,무브멘토,AI 빅데이터 엔지니어 / 딥러닝 엔지니어 (빅데이터 실무자 모집),https://www.jumpit.co.kr/position/18717,서울,성동구,아차산로 104 무신사스튜디오 401호,신입,대학교졸업(4년) 이상,"AI/인공지능, BigData, C++, DeepLearning, NLP, TensorFlow, Python, PyTorch, Docker, C","딥러닝 엔지니어
• 딥러닝 영상처리 알고리즘 개발 (페이스스왑 기술 관련)
• landmark detection, 3D reconstraction, image restruction 등)
• 음성처리 알고리즘 개발
• NLP

AI빅데이터 실무자
• 이미지 및 영상 데이터 수집
• 데이터 분류 및 정리매뉴얼 작성
• 데이터 촬영 일정 조율 및 기타 행정 처리","• 학력: 학사 이상
• 경력 신입 가능
• 파이썬/C/C++및 영상처리, 음성처리, NLP
• 라이브러리(ffmpeg,opencv, dlib등)
• 사용 개발 경험
• 유관 업무 경험자
• 이미지 및 영상 관련 이해도가 높은분","• 대학원(석사) 이상
• 관련 딥러닝 모델 연구/개발자 우대 (Tensor Flow, PyTouch)
• 알고리즘(모델)에 기반한 영상 처리 및 컴퓨터 그래픽 전공자 또는 경력자
• 데이터 레이블링/라벨링 업무 경험자
• 데이터 검수 경험자",상시,,기업형태,,,400
3,웅진,데이터 엔지니어 (3년 이상),https://www.jumpit.co.kr/position/22009,서울시,중구,청계천로 24  케이스퀘어시티,경력 3~16년,무관,"QlikView, Java, Python, PowerBI, Microsoft PowerApps, Microsoft Power Automate","• Azure data Platform 을 활용한 빅데이터 수집, 저장, 처리, 분석 등 데이터 컨설팅 
• 비즈니스 문제 해결을 위한 데이터 분석 방법론 및 전략 수립 
• Data 모델링 및 DB 설계
• 데이터 활용, 분석 등을 위한 큐레이팅 데이터 수집 기획
• 통계, 머신러닝, 텍스트 마이닝 기반, 분석 및 분석결과 시각화 ","• 모집직급: 대리 ~ 과장 
• MS Power Platform 구축 / 운영 경험 3년 이상
   (Automate, BI, Apps 중 1개 이상 경험 포함)
• Power BI 대시보드 작성 능력 보유
• 데이터에 대한 기본 지식 보유 및 Data business Initiative 도출할 수 있는 기획력
• 데이터의 흐름을 이해하고 사고할 수 있는 분
• Python을 활용한 프로그램 개발 가능자","• MS Azure  및 전산관련 자격증 보유 
• 빅데이터 통계분석, DW&DM 구축, 다양한 시각화 설계 및 구현 경험  
• Power BI, Tableau, Qlik, Cognos, Spotfire, MSTR, Longview 등 BI 솔루션 활용 또는 프로젝트 경험
• API, JAVA, Node.js, Python 등 개발기술 경험 ",2024-03-29,42,1983-3-21,484,"중견기업, 코스피, 주식회사, 외부감사법인","1,092"
4,비포플레이,데이터 엔지니어,https://www.jumpit.co.kr/position/20944,서울,강남구,"테헤란로 217, 601호",경력 3~10년,무관,"Etl, NoSql, Java, Python","• 웹크롤링, 오픈API를 통한 데이터 수집
• ETL 환경 구축 및 관리
• 대시보드 구축,관리 및 데이터 분석 환경 구현
• 데이터 처리/시각화 파이프라인 구축 및 운영","• 데이터 엔지니어링 및 인프라 개발/운영 경력이 3년 이상 이거나 이에 준하는 실력을 가지신 분
• Python, Java 등 프로그래밍 언어 스킬보유하신 분
• RDB, NoSQL 등 데이터 소스 활용을 실무에 적용해보신분
• 클라우드 환경에서 데이터 엔지니어링 경험이 있으신분
• 사용하는 기술의 원리를 알고 실무에 적용해보신 분","• 분산처리기술 경험
• 대용량 및 실시간 데이터 분산 처리 시스템 개발 경험
• Data Lake 개발/운영 경험
• 데이터 분석가/사이언티스트 및 타 팀과의 커뮤니케이션이 원활하신분",상시,5,2020-7-17,18,"중소기업, 주식회사",107
5,롯데헬스케어,데이터 엔지니어,https://www.jumpit.co.kr/position/14573,서울,송파구,올림픽로 300,경력 2~10년,대학교졸업(4년) 이상,"BigData, Etl, MachineLearning, AWS Data Pipeline","• 전사적으로 발생하는 다양한 문제들을 데이터를 기반으로 해결 방법을 찾고 결과를 동료에게 효과적으로 전달
• 맞춤형 건강관리, 상품 추천 등 다양한 헬스케어 앱 서비스를 위한 알고리즘 개발 및 고도화
　(e.g., 추천 모델, 랭킹 모델, 최적화, 생성형 모델, 추론/예측 모델 등)
• 클라우드 환경에서 데이터를 수집 및 가공하고 모델을 구축
• 최신 AI(ML/DL) 기술 연구 동향을 파악하여 비즈니스에 접목","• 데이터 분석 및 모델링 경력 2년 이상 또는 그에 준하는 역량을 보유하신 분
• 대표적인 ML/DL 모델을 이해하고 특징 및 차이에 대해 이해하고 계신 분
• Python, SQL, R 등의 프로그래밍 언어로 개발이 가능하신 분
• 문제를 해결하기 위해 스스로 필요한 데이터를 정의, 확보 및 분석할 수 있는 분
• 명확한 문제정의를 바탕으로 해결 방법을 고안하고 분석한 결과를 효과적인 커뮤니케이션 스킬을 통해 전달 할 수 있는 분
• 내가 제안한 설계와 개발한 코드에 대한 비판에도 열린 커뮤니케이션이 가능한 분","• 헬스케어 관련 데이터에 대한 경험/이해가 있는 분
• MLOps를 이용하여 실제 서비스를 운영 해본 경험이 있으신 분
• 주도적으로 문제를 해결하고 개선하고자 하는 의지를 가진 분
• 헬스케어 도메인에서 무언가를 이뤄보고 싶으신 분",상시,3,2022-4-1,89,"대기업, 주식회사","1,590"
6,마크클라우드,데이터 엔지니어 (Vision),https://www.jumpit.co.kr/position/22800,서울특별시,강남구,"테헤란로70길 14-8, 4층 (세왕개발빌딩)",신입~10년,대학교졸업(4년) 이상(졸업예정자 가능),"Git, AI/인공지능, RDB, NoSql, DeepLearning, TensorFlow, PyTorch, Docker","• 자사 이미지 검색 서비스용 딥러닝 모델 연구, 개선
• 모델 및 AI 엔진 성능 개선 및 최적화
• 정형/비정형 데이터 처리 및 관리
• Inference 서버 구축 및 모델 파이프라인 관리","• PyTorch, Tensorflow 등을 이용한 ML 프로젝트 개발 경험이 있으신 분
• RDBMS, NoSQL 등 데이터베이스 사용 경험 있으신 분
• Git, Docker 등의 개발 도구 활용 경험이 있는 분
• 데이터 분석과 활용을 위한 파이프라이닝 구성 및 대용량 데이터 처리 경험이 있는 분
• Vision 관련 논문을 읽고 구현하실 수 있으신 분","• 관련분야 석사 이상의 학위, 혹은 3년 이상의 경력이 있으신 분
• 머신러닝, 딥러닝을 활용한 모델 개발 및 모델의 실제 서비스 적용/운영 경험이 있는 분
• NLP 경험 있으신 분",2024-05-31,6,2019-12-2,14,"중소기업, 주식회사",569
7,딥노이드,데이터 엔지니어,https://www.jumpit.co.kr/position/21104,서울,구로구,디지털로33길 55 1305호,경력 2~10년,석사졸업 이상,"Git, Airflow, Java, Python, Spark, Elasticsearch","• sLLM 서비스(챗봇) 개발을 위한 데이터 구조화 및 파이프라인 아키텍처 구축
• 데이터 추출, 변환 및 로드 인프라 구축
• 데이터 표준화, 품질 분석 연구 ","• DE 경력 2년 이상 
• DE, Data Lake 논리/물리적 설계 가능하신 분
• 데이터 수집, 가공, 자동화(ETL) 활용 경험이 있으신 분
• DB, 기본 쿼리 작성 및 Java 이나 Python 등 활용이 능숙하신 분","• LLM 서비스 구축 경험이 있으신 분
• 백엔드 개발 경력 2년 이상 이신 분
• 연구 세션 진행 등 AI 교육에 관심이 있으신 분
• AI 기술과 교육 분야에 관심이 많으신 분
• 새로운 기술에 대한 관심이 많고, 자기개발을 위해 노력하시는 분",2024-02-29,17,2008-2-15,136,"중소기업, 코스닥, 주식회사, 외부감사법인, 병역특례 인증업체","1,751"
8,스윗코리아,데이터 엔지니어 (7년이상),https://www.jumpit.co.kr/position/15111,서울,강남구,"삼성로 570, 6층",경력 7~15년,무관,"aws, gcp, mysql, linux, elasticsearch, google cloud bigtable, azure","• 대규모 데이터베이스 시스템에서의 데이터베이스 관리 및 유지보수
• Spanner, MySQL, Bigtable, Elasticsearch 등 다양한 데이터베이스 시스템에서의 데이터베이스 관리 및 유지보수
• 데이터베이스 백업 및 복구
• 데이터베이스 보안 및 권한 관리
• 데이터베이스 성능 모니터링 및 최적화
• 데이터베이스 시스템 감시 및 장애 대응
• 개발팀의 요구에 따른 데이터베이스 설계 및 개발 지원","• 7년 이상의 유관 경력을 보유하신 분 
• Spanner, MySQL등 대표적인 데이터베이스 시스템에 대한 전문 지식
• 대규모 데이터베이스 시스템에서의 데이터베이스 관리에 대한 이해와 경험
• 데이터베이스 백업 및 복구, 데이터베이스 보안 및 권한 관리, 성능 최적화 등의 업무에 대한 경험
• 리눅스 운영체제에 대한 이해와 경험
• 개발 프로세스와 개발자와의 협업 경험","• AWS, GCP, Azure 등 클라우드 기술에 대한 이해와 경험
• 자동화 도구 (Terraform, Ansible 등) 사용 경험",상시,8,2017-12-27,6,,38
9,애자일소다,데이터 엔지니어,https://www.jumpit.co.kr/position/23031,서울,강남구,선릉로 525 인포스톰 3층,신입~15년,"대학졸업(2,3년) 이상(졸업예정자 가능)","Linux, Etl, Docker, Dw",• Data Engineering 업무,"• ETL, DW, 데이터 시각화
• Docker 및 Linux","• Cloud, Open source
• 데이터 아키텍처 및 플랫폼 구성에 대한 이해
• 데이터에 대한 이해",상시,10,2015-4-17,102,,725
